id,Title,Content
59,"Ace Ventura: When Nature Calls (1995)",
586,"Toy Story (1995)",
588,"Jumanji (1995)",
590,"Grumpier Old Men (1995)",
592,"Waiting to Exhale (1995)",
594,"Father of the Bride Part II (1995)",
596,"Heat (1995)",
598,"Sabrina (1995)",
600,"Tom and Huck (1995)",
602,"Sudden Death (1995)",
604,"GoldenEye (1995)",
606,"American President, The (1995)",
608,"Dracula: Dead and Loving It (1995)",
610,"Balto (1995)",
612,"Nixon (1995)",
614,"Cutthroat Island (1995)",
616,"Casino (1995)",
618,"Sense and Sensibility (1995)",
620,"Four Rooms (1995)",
622,"Ace Ventura: When Nature Calls (1995)",
624,"Money Train (1995)",
626,"Get Shorty (1995)",
628,"Copycat (1995)",
630,"Assassins (1995)",
632,"Powder (1995)",
634,"Leaving Las Vegas (1995)",
636,"Othello (1995)",
638,"Now and Then (1995)",
640,"Persuasion (1995)",
642,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",
644,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",
646,"Dangerous Minds (1995)",
648,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",
650,"Babe (1995)",
652,"Carrington (1995)",
654,"Dead Man Walking (1995)",
656,"Across the Sea of Time (1995)",
658,"It Takes Two (1995)",
660,"Clueless (1995)",
662,"Cry, the Beloved Country (1995)",
664,"Richard III (1995)",
666,"Dead Presidents (1995)",
668,"Restoration (1995)",
670,"Mortal Kombat (1995)",
672,"To Die For (1995)",
674,"How to Make an American Quilt (1995)",
676,"Seven (a.k.a. Se7en) (1995)",
678,"Pocahontas (1995)",
680,"When Night Is Falling (1995)",
682,"Usual Suspects, The (1995)",
684,"Mighty Aphrodite (1995)",
686,"Lamerica (1994)",
688,"Big Green, The (1995)",
690,"Georgia (1995)",
692,"Home for the Holidays (1995)",
694,"Postman, The (Postino, Il) (1994)",
696,"Confessional, The (Confessionnal, Le) (1995)",
698,"Indian in the Cupboard, The (1995)",
700,"Eye for an Eye (1996)",
702,"Mr. Holland's Opus (1995)",
704,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",
706,"Two if by Sea (1996)",
708,"Bio-Dome (1996)",
710,"Lawnmower Man 2: Beyond Cyberspace (1996)",
712,"French Twist (Gazon maudit) (1995)",
714,"Friday (1995)",
716,"From Dusk Till Dawn (1996)",
718,"Fair Game (1995)",
720,"Kicking and Screaming (1995)",
722,"Mis̩rables, Les (1995)",
724,"Bed of Roses (1996)",
726,"Screamers (1995)",
728,"Nico Icon (1995)",
730,"Crossing Guard, The (1995)",
732,"Juror, The (1996)",
734,"White Balloon, The (Badkonake sefid) (1995)",
736,"Things to Do in Denver When You're Dead (1995)",
738,"Antonia's Line (Antonia) (1995)",
740,"Once Upon a Time... When We Were Colored (1995)",
742,"Last Summer in the Hamptons (1995)",
744,"Angels and Insects (1995)",
746,"White Squall (1996)",
748,"Dunston Checks In (1996)",
750,"Black Sheep (1996)",
752,"Nick of Time (1995)",
754,"Mary Reilly (1996)",
756,"Vampire in Brooklyn (1995)",
758,"Beautiful Girls (1996)",
760,"Broken Arrow (1996)",
762,"In the Bleak Midwinter (1995)",
764,"Hate (Haine, La) (1995)",
766,"Shopping (1994)",
768,"Heidi Fleiss: Hollywood Madam (1995)",
770,"City Hall (1996)",
772,"Bottle Rocket (1996)",
774,"Mr. Wrong (1996)",
776,"Unforgettable (1996)",
778,"Happy Gilmore (1996)",
780,"Bridges of Madison County, The (1995)",
782,"Muppet Treasure Island (1996)",
784,"Catwalk (1996)",
786,"Braveheart (1995)",
788,"Taxi Driver (1976)",
790,"Rumble in the Bronx (Hont faan kui) (1995)",
792,"Before and After (1996)",
794,"Margaret's Museum (1995)",
796,"Anne Frank Remembered (1995)",
798,"Young Poisoner's Handbook, The (1995)",
800,"If Lucy Fell (1996)",
802,"Steal Big, Steal Little (1995)",
804,"Boys of St. Vincent, The (1992)",
806,"Boomerang (1992)",
808,"Chungking Express (Chung Hing sam lam) (1994)",
810,"Star Maker, The (Uomo delle stelle, L') (1995)",
812,"Flirting With Disaster (1996)",
814,"NeverEnding Story III, The (1994)",
816,"Pie in the Sky (1996)",
818,"Angela (1995)",
820,"Frankie Starlight (1995)",
822,"Jade (1995)",
824,"Down Periscope (1996)",
826,"Man of the Year (1995)",
828,"Up Close and Personal (1996)",
830,"Birdcage, The (1996)",
832,"Brothers McMullen, The (1995)",
834,"Bad Boys (1995)",
836,"Amazing Panda Adventure, The (1995)",
838,"Basketball Diaries, The (1995)",
840,"Awfully Big Adventure, An (1995)",
842,"Amateur (1994)",
844,"Apollo 13 (1995)",
846,"Rob Roy (1995)",
848,"Addiction, The (1995)",
850,"Batman Forever (1995)",
852,"Beauty of the Day (Belle de jour) (1967)",
854,"Beyond Rangoon (1995)",
856,"Blue in the Face (1995)",
858,"Canadian Bacon (1995)",
860,"Casper (1995)",
862,"Clockers (1995)",
864,"Congo (1995)",
866,"Crimson Tide (1995)",
868,"Crumb (1994)",
870,"Desperado (1995)",
872,"Devil in a Blue Dress (1995)",
874,"Die Hard: With a Vengeance (1995)",
876,"Doom Generation, The (1995)",
878,"Feast of July (1995)",
880,"First Knight (1995)",
882,"Free Willy 2: The Adventure Home (1995)",
884,"Hackers (1995)",
886,"Jeffrey (1995)",
888,"Johnny Mnemonic (1995)",
890,"Judge Dredd (1995)",
892,"Jury Duty (1995)",
894,"Kids (1995)",
896,"Living in Oblivion (1995)",
898,"Lord of Illusions (1995)",
900,"Love & Human Remains (1993)",
902,"Mad Love (1995)",
904,"Mallrats (1995)",
906,"Mighty Morphin Power Rangers: The Movie (1995)",
908,"Mute Witness (1994)",
910,"Nadja (1994)",
912,"Net, The (1995)",
914,"Nine Months (1995)",
916,"Party Girl (1995)",
918,"Prophecy, The (1995)",
920,"Reckless (1995)",
922,"Safe (1995)",
924,"Scarlet Letter, The (1995)",
926,"Showgirls (1995)",
928,"Smoke (1995)",
930,"Something to Talk About (1995)",
932,"Species (1995)",
934,"Strange Days (1995)",
936,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",
938,"Tie That Binds, The (1995)",
940,"Three Wishes (1995)",
942,"Total Eclipse (1995)",
944,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",
946,"Under Siege 2: Dark Territory (1995)",
948,"Unstrung Heroes (1995)",
950,"Unzipped (1995)",
952,"Walk in the Clouds, A (1995)",
954,"Waterworld (1995)",
956,"White Man's Burden (1995)",
958,"Browning Version, The (1994)",
960,"Burnt by the Sun (Utomlyonnye solntsem) (1994)",
962,"Before the Rain (Pred dozhdot) (1994)",
964,"Before Sunrise (1995)",
966,"Billy Madison (1995)",
968,"Babysitter, The (1995)",
970,"Boys on the Side (1995)",
972,"Cure, The (1995)",
974,"Castle Freak (1995)",
976,"Circle of Friends (1995)",
978,"Clerks (1994)",
980,"Don Juan DeMarco (1995)",
982,"Disclosure (1994)",
984,"Drop Zone (1994)",
986,"Destiny Turns on the Radio (1995)",
988,"Death and the Maiden (1994)",
990,"Dolores Claiborne (1995)",
992,"Dumb & Dumber (Dumb and Dumber) (1994)",
994,"Eat Drink Man Woman (Yin shi nan nu) (1994)",
996,"Exotica (1994)",
998,"Exit to Eden (1994)",
1000,"Ed Wood (1994)",
1002,"French Kiss (1995)",
1004,"Forget Paris (1995)",
1006,"Far From Home: The Adventures of Yellow Dog (1995)",
1008,"Goofy Movie, A (1995)",
1010,"Hideaway (1995)",
1012,"Fluke (1995)",
1014,"Farinelli: il castrato (1994)",
1016,"Gordy (1995)",
1018,"Gumby: The Movie (1995)",
1020,"The Glass Shield (1994)",
1022,"Hoop Dreams (1994)",
1024,"Heavenly Creatures (1994)",
1026,"Houseguest (1994)",
1028,"Immortal Beloved (1994)",
1030,"Heavyweights (Heavy Weights) (1995)",
1032,"Hunted, The (1995)",
1034,"I.Q. (1994)",
1036,"Interview with the Vampire: The Vampire Chronicles (1994)",
1038,"Jefferson in Paris (1995)",
1040,"Jerky Boys, The (1995)",
1042,"Junior (1994)",
1044,"Just Cause (1995)",
1046,"Kid in King Arthur's Court, A (1995)",
1048,"Kiss of Death (1995)",
1050,"Star Wars: Episode IV - A New Hope (1977)",
1052,"Little Women (1994)",
1054,"Little Princess, A (1995)",
1056,"Ladybird Ladybird (1994)",
1058,"Enfer, L' (1994)",
1060,"Like Water for Chocolate (Como agua para chocolate) (1992)",
1062,"Legends of the Fall (1994)",
1064,"Major Payne (1995)",
1066,"Little Odessa (1994)",
1068,"My Crazy Life (Mi vida loca) (1993)",
1070,"Love Affair (1994)",
1072,"Losing Isaiah (1995)",
1074,"Madness of King George, The (1994)",
1076,"Mary Shelley's Frankenstein (Frankenstein) (1994)",
1078,"Man of the House (1995)",
1080,"Mixed Nuts (1994)",
1082,"Milk Money (1994)",
1084,"Miracle on 34th Street (1994)",
1086,"Miami Rhapsody (1995)",
1088,"My Family (1995)",
1090,"Murder in the First (1995)",
1092,"Nobody's Fool (1994)",
1094,"Nell (1994)",
1096,"New Jersey Drive (1995)",
1098,"Beyond Bedlam (1993)",
1100,"Nina Takes a Lover (1994)",
1102,"Natural Born Killers (1994)",
1104,"Only You (1994)",
1106,"Once Were Warriors (1994)",
1108,"Poison Ivy II (1996)",
1110,"Outbreak (1995)",
1112,"L̩on: The Professional (a.k.a. The Professional) (L̩on) (1994)",
1114,"Perez Family, The (1995)",
1116,"Pyromaniac's Love Story, A (1995)",
1118,"Pulp Fiction (1994)",
1120,"Priest (1994)",
1122,"Quiz Show (1994)",
